Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"703450","PRJNA237953","703450",,,"BioProject","project",,"bioproject","237953",
"700283","PRJNA237951","700283",,,"BioProject","project",,"bioproject","237951",
"403341","PRJNA237950","403341",,,"BioProject","project",,"bioproject","237950",
"403116","PRJNA237949","403116",,,"BioProject","project",,"bioproject","237949",
"402981","PRJNA237948","402981",,,"BioProject","project",,"bioproject","237948",
"402559","PRJNA237947","402559",,,"BioProject","project",,"bioproject","237947",
"401675","PRJNA237946","401675",,,"BioProject","project",,"bioproject","237946",
"401195","PRJNA237945","401195",,,"BioProject","project",,"bioproject","237945",
"400929","PRJNA237944","400929",,,"BioProject","project",,"bioproject","237944",
"303341","PRJNA237942","303341",,,"BioProject","project",,"bioproject","237942",
"303301","PRJNA237941","303301",,,"BioProject","project",,"bioproject","237941",
"303139","PRJNA237940","303139",,,"BioProject","project",,"bioproject","237940",
"302312","PRJNA237939","302312",,,"BioProject","project",,"bioproject","237939",
"302137","PRJNA237938","302137",,,"BioProject","project",,"bioproject","237938",
"300847","PRJNA237937","300847",,,"BioProject","project",,"bioproject","237937",
"300469","PRJNA237936","300469",,,"BioProject","project",,"bioproject","237936",
"200077","PRJNA237935","200077",,,"BioProject","project",,"bioproject","237935",
"103447","PRJNA237934","103447",,,"BioProject","project",,"bioproject","237934",
"103338","PRJNA237933","103338",,,"BioProject","project",,"bioproject","237933",
"100175","PRJNA237932","100175",,,"BioProject","project",,"bioproject","237932",
"102132","PRJNA237929","102132",,,"BioProject","project",,"bioproject","237929",
"102535","PRJNA237928","102535",,,"BioProject","project",,"bioproject","237928",
"100100","PRJNA237927","100100",,,"BioProject","project",,"bioproject","237927",
"702626","PRJNA237926","702626",,,"BioProject","project",,"bioproject","237926",
"702423","PRJNA237925","702423",,,"BioProject","project",,"bioproject","237925",
"402804","PRJNA237924","402804",,,"BioProject","project",,"bioproject","237924",
"402310","PRJNA237923","402310",,,"BioProject","project",,"bioproject","237923",
"401817","PRJNA237922","401817",,,"BioProject","project",,"bioproject","237922",
"401588","PRJNA237921","401588",,,"BioProject","project",,"bioproject","237921",
"401210","PRJNA237920","401210",,,"BioProject","project",,"bioproject","237920",
"401091","PRJNA237919","401091",,,"BioProject","project",,"bioproject","237919",
"400738","PRJNA237918","400738",,,"BioProject","project",,"bioproject","237918",
"303145","PRJNA237916","303145",,,"BioProject","project",,"bioproject","237916",
"302909","PRJNA237915","302909",,,"BioProject","project",,"bioproject","237915",
"302687","PRJNA237912","302687",,,"BioProject","project",,"bioproject","237912",
"302150","PRJNA237911","302150",,,"BioProject","project",,"bioproject","237911",
"300231","PRJNA237908","300231",,,"BioProject","project",,"bioproject","237908",
"300214","PRJNA237906","300214",,,"BioProject","project",,"bioproject","237906",
"300075","PRJNA237905","300075",,,"BioProject","project",,"bioproject","237905",
"200146","PRJNA237904","200146",,,"BioProject","project",,"bioproject","237904",
"103578","PRJNA237903","103578",,,"BioProject","project",,"bioproject","237903",
"102929","PRJNA237902","102929",,,"BioProject","project",,"bioproject","237902",
"102598","PRJNA237901","102598",,,"BioProject","project",,"bioproject","237901",
"102536","PRJNA237900","102536",,,"BioProject","project",,"bioproject","237900",
"100854","PRJNA237899","100854",,,"BioProject","project",,"bioproject","237899",
"Escherichia coli 100329","PRJNA237898","Escherichia coli 100329",,,"BioProject","project",,"bioproject","237898",
"703533","PRJNA237892","703533",,,"BioProject","project",,"bioproject","237892",
"702324","PRJNA237890","702324",,,"BioProject","project",,"bioproject","237890",
"Escherichia coli 402290","PRJNA237889","Escherichia coli 402290",,,"BioProject","project",,"bioproject","237889",
"401954","PRJNA237888","401954",,,"BioProject","project",,"bioproject","237888",
"401264","PRJNA237887","401264",,,"BioProject","project",,"bioproject","237887",
"401150","PRJNA237886","401150",,,"BioProject","project",,"bioproject","237886",
"Escherichia coli 401140","PRJNA237885","Escherichia coli 401140",,,"BioProject","project",,"bioproject","237885",
"401031","PRJNA237884","401031",,,"BioProject","project",,"bioproject","237884",
"400791","PRJNA237883","400791",,,"BioProject","project",,"bioproject","237883",
"303289","PRJNA237882","303289",,,"BioProject","project",,"bioproject","237882",
"302662","PRJNA237881","302662",,,"BioProject","project",,"bioproject","237881",
"302275","PRJNA237880","302275",,,"BioProject","project",,"bioproject","237880",
"Escherichia coli 302053","PRJNA237878","Escherichia coli 302053",,,"BioProject","project",,"bioproject","237878",
"302048","PRJNA237877","302048",,,"BioProject","project",,"bioproject","237877",
"302014","PRJNA237872","302014",,,"BioProject","project",,"bioproject","237872",
"300262","PRJNA237867","300262",,,"BioProject","project",,"bioproject","237867",
"Escherichia coli 300059","PRJNA237866","Escherichia coli 300059",,,"BioProject","project",,"bioproject","237866",
"203741","PRJNA237865","203741",,,"BioProject","project",,"bioproject","237865",
"Escherichia coli 103573","PRJNA237864","Escherichia coli 103573",,,"BioProject","project",,"bioproject","237864",
"Escherichia coli 103385","PRJNA237863","Escherichia coli 103385",,,"BioProject","project",,"bioproject","237863",
"102550","PRJNA237862","102550",,,"BioProject","project",,"bioproject","237862",
"100414","PRJNA237861","100414",,,"BioProject","project",,"bioproject","237861",
"100343","PRJNA237860","100343",,,"BioProject","project",,"bioproject","237860",
"100290","PRJNA237859","100290",,,"BioProject","project",,"bioproject","237859",
